MESS_DATUM;FG_LBERGWh
1982011605;0
1982011606;0
1982011607;0
1982011608;25
1982011609;75
1982011610;188.9
1982011611;272.2
1982011612;266.7
1982011613;213.9
1982011614;125
1982011615;33.3
1982011616;0
1982011617;0
1982011618;0
1982011619;0
1982011620;0
1982011621;0
1982011622;0
1982011623;0
1982011700;0
1982011701;0
1982011702;0
1982011703;0
1982011704;0
1982011705;0
1982011706;0
1982011707;0
1982011708;38.9
1982011709;125
1982011710;213.9
1982011711;258.3
1982011712;275
1982011713;230.6
1982011714;144.4
1982011715;44.4
1982011716;0
1982011717;0
1982011718;0
1982011719;0
1982011720;0
1982011721;0
1982011722;0
1982011723;0
1982011800;0
1982011801;0
1982011802;0
1982011803;0
1982011804;0
1982011805;0
1982011806;0
1982011807;0
1982011808;41.7
1982011809;127.8
1982011810;205.6
1982011811;252.8
1982011812;252.8
1982011813;211.1
1982011814;133.3
1982011815;44.4
1982011816;0
1982011817;0
1982011818;0
1982011819;0
1982011820;0
1982011821;0
1982011822;0
1982011823;0
1982011900;0
1982011901;0
1982011902;0
1982011903;0
1982011904;0
1982011905;0
1982011906;0
1982011907;0
1982011908;52.8
1982011909;144.4
1982011910;205.6
1982011911;211.1
1982011912;288.9
1982011913;200
1982011914;161.1
1982011915;44.4
1982011916;0
1982011917;0
1982011918;0
1982011919;0
1982011920;0
1982011921;0
1982011922;0
1982011923;0
1982012000;0
1982012001;0
1982012002;0
1982012003;0
1982012004;0
1982012005;0
1982012006;0
1982012007;0
1982012008;50
1982012009;147.2
1982012010;225
1982012011;263.9
1982012012;236.1
1982012013;191.7
1982012014;138.9
1982012015;69.4
1982012016;0
1982012017;0
1982012018;0
1982012019;0
1982012020;0
1982012021;0
1982012022;0
1982012023;0
1982012100;0
1982012101;0
1982012102;0
1982012103;0
1982012104;0
1982012105;0
1982012106;0
1982012107;0
1982012108;19.4
1982012109;33.3
1982012110;55.6
1982012111;52.8
1982012112;41.7
1982012113;33.3
1982012114;16.7
1982012115;5.6
1982012116;0
1982012117;0
1982012118;0
1982012119;0
1982012120;0
1982012121;0
1982012122;0
1982012123;0
1982012200;0
1982012201;0
1982012202;0
1982012203;0
1982012204;0
1982012205;0
1982012206;0
1982012207;0
1982012208;50
1982012209;166.7
1982012210;252.8
1982012211;297.2
1982012212;269.4
1982012213;119.4
1982012214;83.3
1982012215;38.9
1982012216;0
1982012217;0
1982012218;0
1982012219;0
1982012220;0
1982012221;0
1982012222;0
1982012223;0
1982012300;0
1982012301;0
1982012302;0
1982012303;0
1982012304;0
1982012305;0
1982012306;0
1982012307;0
1982012308;5.6
1982012309;16.7
1982012310;47.2
1982012311;72.2
1982012312;66.7
1982012313;36.1
1982012314;41.7
1982012315;19.4
1982012316;0
1982012317;0
1982012318;0
1982012319;0
1982012320;0
1982012321;0
1982012322;0
1982012323;0
1982012400;0
1982012401;0
1982012402;0
1982012403;0
1982012404;0
1982012405;0
1982012406;0
1982012407;0
1982012408;25
1982012409;72.2
1982012410;130.6
1982012411;197.2
1982012412;77.8
1982012413;91.7
1982012414;94.4
1982012415;30.6
1982012416;2.8
1982012417;0
1982012418;0
1982012419;0
1982012420;0
1982012421;0
1982012422;0
1982012423;0
1982012500;0
1982012501;0
1982012502;0
1982012503;0
1982012504;0
1982012505;0
1982012506;0
1982012507;2.8
1982012508;19.4
1982012509;88.9
1982012510;180.6
1982012511;141.7
1982012512;191.7
1982012513;147.2
1982012514;66.7
1982012515;27.8
1982012516;2.8
1982012517;0
1982012518;0
1982012519;0
1982012520;0
1982012521;0
1982012522;0
1982012523;0
1982012600;0
1982012601;0
1982012602;0
1982012603;0
1982012604;0
1982012605;0
1982012606;0
1982012607;2.8
1982012608;8.3
1982012609;11.1
1982012610;27.8
1982012611;58.3
1982012612;41.7
1982012613;25
1982012614;16.7
1982012615;2.8
1982012616;0
1982012617;0
1982012618;0
1982012619;0
1982012620;0
1982012621;0
1982012622;0
1982012623;0
1982012700;0
1982012701;0
1982012702;0
1982012703;0
1982012704;0
1982012705;0
1982012706;0
1982012707;0
1982012708;5.6
1982012709;25
1982012710;77.8
1982012711;58.3
1982012712;69.4
1982012713;80.6
1982012714;30.6
1982012715;16.7
1982012716;2.8
1982012717;0
1982012718;0
1982012719;0
1982012720;0
1982012721;0
1982012722;0
1982012723;0
1982012800;0
1982012801;0
1982012802;0
1982012803;0
1982012804;0
